SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,FreeSpace,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Year,Semester
SLASS,AAT101,AAT101,1,3,50,44,6,BC7002-S,50,0,Art and Aesthetics,2404-MR Shohail Rayhan Muhammad Tarek,11:00:00,12:30:00,MW,2021,Summer
SBE,ACN201,ACN201,1,3,48,48,2,BC2009-S,50,0,Principles of Accounting,3269-MR Zeeshan Abedin,08:00:00,09:30:00,ST,2021,Summer
SBE,ACN201,ACN201,2,3,48,48,2,BC2021-S,50,0,Principles of Accounting,3563-MR Mohammed Naveed Siddiquee,09:30:00,11:00:00,MW,2021,Summer
SBE,ACN201,ACN201,3,3,48,48,2,BC3008-S,50,0,Principles of Accounting,3478-MR Md. Safiuddin,11:00:00,12:30:00,ST,2021,Summer
SBE,ACN201,ACN201,4,3,48,48,2,BC3010-S,50,0,Principles of Accounting,3493-MR Ashraful Arefin,11:00:00,12:30:00,MW,2021,Summer
SBE,ACN201,ACN201,5,3,49,49,1,BC2020-S,50,0,Principles of Accounting,3600-MR Prahallad Chandra Das,12:30:00,14:00:00,ST,2021,Summer
SBE,ACN201,ACN201,6,3,48,48,2,BC3008-S,50,0,Principles of Accounting,3628-MR Syed Numan Chowdhury,15:30:00,17:00:00,MW,2021,Summer
SBE,ACN201,ACN201,7,3,48,47,3,BC3010-S,50,0,Principles of Accounting,3628-MR Syed Numan Chowdhury,17:00:00,18:30:00,ST,2021,Summer
SBE,ACN201,ACN201,8,3,48,48,2,BC2021-S,50,0,Principles of Accounting,3493-MR Ashraful Arefin,08:00:00,09:30:00,MW,2021,Summer
SBE,ACN201,ACN201,9,3,48,48,2,BC3008-S,50,0,Principles of Accounting,3563-MR Mohammed Naveed Siddiquee,09:30:00,11:00:00,ST,2021,Summer
SBE,ACN201,ACN201,10,3,48,48,2,BC3008-S,50,0,Principles of Accounting,3585-MR Nafees Reza,14:00:00,15:30:00,ST,2021,Summer
SBE,ACN202,ACN202,1,3,48,48,2,BC3008-S,50,0,Management of Accounting,3427-MS Nimat Zarin,08:00:00,09:30:00,MW,2021,Summer
SBE,ACN202,ACN202,2,3,49,49,1,BC3009-S,50,0,Management of Accounting,3478-MR Md. Safiuddin,09:30:00,11:00:00,ST,2021,Summer
SBE,ACN202,ACN202,3,3,49,49,1,BC3011-S,50,0,Management of Accounting,3628-MR Syed Numan Chowdhury,11:00:00,12:30:00,MW,2021,Summer
SBE,ACN202,ACN202,4,3,48,48,2,BC3010-S,50,0,Management of Accounting,3600-MR Prahallad Chandra Das,09:30:00,11:00:00,ST,2021,Summer
SBE,ACN202,ACN202,5,3,49,49,1,BC2021-S,50,0,Management of Accounting,3563-MR Mohammed Naveed Siddiquee,14:00:00,15:30:00,MW,2021,Summer
SBE,ACN202,ACN202,6,3,48,48,2,BC3009-S,50,0,Management of Accounting,3478-MR Md. Safiuddin,14:00:00,15:30:00,ST,2021,Summer
SBE,ACN202,ACN202,7,3,48,48,2,BC3009-S,50,0,Management of Accounting,3347-MR Maqbool Kader Quraishi,11:00:00,12:30:00,ST,2021,Summer
SBE,ACN301,ACN301,1,3,40,26,24,BC3008-S,50,0,Intermediate Accounting,3147-DR Rushdi Rezaur Razzaque,09:30:00,11:00:00,MW,2021,Summer
SBE,ACN301,ACN301,2,3,40,19,31,BC3011-S,50,0,Intermediate Accounting,3347-MR Maqbool Kader Quraishi,09:30:00,11:00:00,ST,2021,Summer
SBE,ACN305,ACN305,1,3,40,16,34,BC3012-S,50,0,Financial Accounting,3147-DR Rushdi Rezaur Razzaque,09:30:00,11:00:00,ST,2021,Summer
SBE,ACN305,ACN305,2,3,40,40,10,BC3008-S,50,0,Financial Accounting,3478-MR Md. Safiuddin,12:30:00,14:00:00,MW,2021,Summer
SBE,ACN402,ACN402,1,3,42,42,8,BC3009-S,50,0,Income Tax Accounting,3478-MR Md. Safiuddin,09:30:00,11:00:00,MW,2021,Summer
SBE,ACN403,ACN403,1,3,40,27,23,BC3009-S,50,0,Auditing,3347-MR Maqbool Kader Quraishi,12:30:00,14:00:00,MW,2021,Summer
SBE,ACN403,ACN403,2,3,40,7,43,BC3008-S,50,0,Auditing,3427-MS Nimat Zarin,08:00:00,09:30:00,ST,2021,Summer
SBE,ACN405,ACN405,1,3,40,26,24,BC3009-S,50,0,Cost Accounting 1,3376-MR Naheem Mahtab,08:00:00,09:30:00,ST,2021,Summer
SBE,ACN405,ACN405,2,3,40,21,29,BC3010-S,50,0,Cost Accounting 1,3563-MR Mohammed Naveed Siddiquee,11:00:00,12:30:00,ST,2021,Summer
SBE,ACN406,ACN406,1,3,40,10,40,BC3012-S,50,0,Cost Accounting II,3376-MR Naheem Mahtab,08:00:00,09:30:00,MW,2021,Summer
SBE,ACN441,"ACN441,MIS441",1,3,46,46,4,BC2021-S,50,0,Accounting Information System,3563-MR Mohammed Naveed Siddiquee,17:00:00,18:30:00,MW,2021,Summer
SBE,ACN441,"ACN441,MIS441",2,3,44,43,7,BC3010-S,50,0,Accounting Information System,3628-MR Syed Numan Chowdhury,14:00:00,15:30:00,ST,2021,Summer
SLASS,ANT101,ANT101,1,3,40,40,10,BC7015-S,50,0,Introduction to Anthropology,2326-MR Maidul Alam Chaklader,15:30:00,17:00:00,ST,2021,Summer
SLASS,ANT101,ANT101,2,3,40,40,10,BC7015-S,50,0,Introduction to Anthropology,2326-MR Maidul Alam Chaklader,15:30:00,17:00:00,MW,2021,Summer
SLASS,ANT101,ANT101,3,3,40,40,10,BC8012-S,50,0,Introduction to Anthropology,2194-MR Mohammad Mahfuzul Islam,14:00:00,15:30:00,ST,2021,Summer
SLASS,ANT101,ANT101,4,3,40,38,12,BC8011-S,50,0,Introduction to Anthropology,2194-MR Mohammad Mahfuzul Islam,14:00:00,15:30:00,MW,2021,Summer
SLASS,ANT101,ANT101,5,3,40,12,38,BC6008-S,50,0,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,08:00:00,09:30:00,ST,2021,Summer
SLASS,ANT101,ANT101,6,3,40,28,22,BC7015-S,50,0,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,09:30:00,11:00:00,ST,2021,Summer
SLASS,ANT101,ANT101,7,3,40,11,39,BC9014-S,50,0,Introduction to Anthropology,2443-MS Tazin Rahman Ananya,11:00:00,12:30:00,MW,2021,Summer
SLASS,ANT101,ANT101,8,3,40,0,50,BC7015-S,50,B-0,Introduction to Anthropology,2420-MS Saba Nuzhat,08:00:00,09:30:00,MW,2021,Summer
SLASS,ANT101,ANT101,9,3,40,0,20,C6002-S,20,0,Introduction to Anthropology,2420-MS Saba Nuzhat,09:30:00,11:00:00,MW,2021,Summer
SLASS,ANT103,ANT103,1,3,30,24,1,BC8014-S,25,0,Methodology in Anthropology,2326-MR Maidul Alam Chaklader,14:00:00,15:30:00,ST,2021,Summer
SLASS,ANT205,ANT205,1,3,20,6,19,BC4010-S,25,0,Theories in Anthropology I,2194-MR Mohammad Mahfuzul Islam,15:30:00,17:00:00,ST,2021,Summer
SLASS,ANT206,ANT206,1,3,20,11,39,BC7025-S,50,0,Business Anthropology,2389-DR Ranjan Saha Partha,17:00:00,18:30:00,MW,2021,Summer
SLASS,ANT303,ANT303,1,3,20,6,19,BC8014-S,25,0,Theories in Anthropology II,2194-MR Mohammad Mahfuzul Islam,15:30:00,17:00:00,MW,2021,Summer
