SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SLASS,AAT101,AAT101,1,3,250,43,C10210-S,40,-,Art and Aesthetics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,43,129,2009,Spring,,1,FALSE
SLASS,AAT101,AAT101,2,3,250,37,C10210-S,40,-,Art and Aesthetics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,37,111,2009,Spring,,1,
SBE,ACN201,ACN201,1,3,250,60,C10210-S,40,-,Principles of Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,60,180,2009,Spring,,1,
SBE,ACN201,ACN201,2,3,250,53,C10210-S,40,-,Principles of Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,53,159,2009,Spring,,1,
SBE,ACN201,ACN201,3,3,250,15,C10210-S,40,-,Principles of Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,15,45,2009,Spring,,1,
SBE,ACN202,ACN202,1,3,250,52,C10210-S,40,-,Management of Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,52,156,2009,Spring,,1,
SBE,ACN202,ACN202,2,3,250,59,C10210-S,40,-,Management of Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,59,177,2009,Spring,,1,
SBE,ACN301,ACN301,1,3,250,20,C10210-S,40,-,Intermediate Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,20,60,2009,Spring,,1,
SBE,ACN305,ACN305,1,3,250,25,C10210-S,40,-,Financial Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,25,75,2009,Spring,,1,
SBE,ACN402,ACN402,1,3,250,24,C10210-S,40,-,Income Tax Accounting,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,24,72,2009,Spring,,1,
SBE,ACN403,ACN403,1,3,250,16,C10210-S,40,-,Auditing,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,16,48,2009,Spring,,1,
SBE,ACN405,ACN405,1,3,250,18,C10210-S,40,-,Cost Accounting 1,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,18,54,2009,Spring,,1,
SBE,ACN441,ACN441,1,3,250,13,C10210-S,40,-,Accounting Information System,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,13,39,2009,Spring,,1,
SLASS,ANT101,ANT101,1,3,250,63,C10210-S,40,-,Introduction to Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,63,189,2009,Spring,,1,
SLASS,ANT101,ANT101,2,3,250,48,C10210-S,40,-,Introduction to Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,48,144,2009,Spring,,1,
SLASS,ANT101,ANT101,3,3,250,45,C10210-S,40,-,Introduction to Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,45,135,2009,Spring,,1,
SLASS,ANT103,ANT103,1,3,250,6,C10210-S,40,-,Methodology in Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,6,18,2009,Spring,,1,
SLASS,ANT205,ANT205,1,3,250,3,C10210-S,40,-,Theories in Anthropology I,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,3,9,2009,Spring,,1,
SLASS,ANT206,ANT206,1,3,250,2,C10210-S,40,-,Business Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,2,6,2009,Spring,,1,
SLASS,ANT210,ANT210,1,3,250,3,C10210-S,40,-,Anthropology of Symbol & Religion,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,3,9,2009,Spring,,1,
SLASS,ANT307,ANT307,1,3,250,2,C10210-S,40,-,Anthropology of Gender,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,2,6,2009,Spring,,1,
SLASS,ANT403,ANT403,1,3,250,1,C10210-S,40,-,Applied Anthropology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,1,3,2009,Spring,,1,
SBE,BBA499,BBA499,1,12,250,2,C10210-S,40,-,Internship/ Senior Project,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,2,24,2009,Spring,,1,
SBE,BBA499A,BBA499A,1,6,250,112,C10210-S,40,-,Internship/ Senior Project,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,112,672,2009,Spring,,1,
SELS,BIO101,BIO101,1,3,250,8,C10210-S,40,-,Environmental Biology,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,8,24,2009,Spring,,1,
SELS,BIO101L,BIO101L,1,1,250,23,C10210-S,40,-,Environmental Biology Lab,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,23,23,2009,Spring,,1,
SELS,BIO102,BIO102,1,3,250,9,C10210-S,40,-,Biology & Society,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,9,27,2009,Spring,,1,
SELS,BIO102T,BIO102T,1,1,250,9,C10210-S,40,-,Biology & Society Tutorial,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,9,9,2009,Spring,,1,
SLASS,BLA101,BLA101,1,3,250,56,C10210-S,40,-,Bangla Literature and Art,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,56,168,2009,Spring,,1,
SLASS,BLA101,BLA101,2,3,250,49,C10210-S,40,-,Bangla Literature and Art,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,49,147,2009,Spring,,1,
SLASS,BNG201,BNG201,1,3,250,2,C10210-S,40,-,Bangla Literature,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,2,6,2009,Spring,,1,
SLASS,BPH101,BPH101,1,3,250,85,C10210-S,40,-,Bangladesh Political History,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SLASS,85,255,2009,Spring,,1,
SBE,BUS201,BUS201,1,3,250,56,C10210-S,40,-,Introduction to Business,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,56,168,2009,Spring,,1,
SBE,BUS201,BUS201,2,3,250,38,C10210-S,40,-,Introduction to Business,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,38,114,2009,Spring,,1,
SBE,BUS201,BUS201,3,3,250,33,C10210-S,40,-,Introduction to Business,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,33,99,2009,Spring,,1,
SBE,BUS202,BUS202,1,3,250,52,C10210-S,40,-,Business Mathematics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,52,156,2009,Spring,,1,
SBE,BUS202,BUS202,2,3,250,59,C10210-S,40,-,Business Mathematics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,59,177,2009,Spring,,1,
SBE,BUS202,BUS202,3,3,250,57,C10210-S,40,-,Business Mathematics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,57,171,2009,Spring,,1,
SBE,BUS202,BUS202,4,3,250,11,C10210-S,40,-,Business Mathematics,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,11,33,2009,Spring,,1,
SBE,BUS315,BUS315,5,3,250,1,C10210-S,40,-,Business Communication,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,1,3,2009,Spring,,1,
SBE,BUS315,BUS315,10,3,250,1,C10210-S,40,-,Business Communication,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,1,3,2009,Spring,,1,
SBE,BUS315,BUS315,13,3,250,1,C10210-S,40,-,Business Communication,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,1,3,2009,Spring,,1,
SBE,BUS360,BUS360,1,3,250,33,C10210-S,40,-,Introduction to Business Law,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,33,99,2009,Spring,,1,
SBE,BUS360,BUS360,2,3,250,55,C10210-S,40,-,Introduction to Business Law,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,55,165,2009,Spring,,1,
SBE,BUS360,BUS360,3,3,250,30,C10210-S,40,-,Introduction to Business Law,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,30,90,2009,Spring,,1,
SBE,BUS485,BUS485,1,3,250,35,C10210-S,40,-,Business Research Methods,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,35,105,2009,Spring,,1,
SBE,BUS485,BUS485,2,3,250,48,C10210-S,40,-,Business Research Methods,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,48,144,2009,Spring,,1,
SBE,BUS485,BUS485,3,3,250,43,C10210-S,40,-,Business Research Methods,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SBE,43,129,2009,Spring,,1,
SELS,CHE101,CHE101,1,3,250,22,C10210-S,40,-,Concepts in Chemistry,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,22,66,2009,Spring,,1,
SELS,CHE101L,CHE101L,1,1,250,27,C10210-S,40,-,Concepts in Chemistry Lab,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,27,27,2009,Spring,,1,
SELS,CHE102,CHE102,1,3,250,28,C10210-S,40,-,Chemistry and Society,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,28,84,2009,Spring,,1,
SELS,CHE102,CHE102,2,3,250,37,C10210-S,40,-,Chemistry and Society,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,37,111,2009,Spring,,1,
SELS,CHE102,CHE102,3,3,250,13,C10210-S,40,-,Chemistry and Society,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,13,39,2009,Spring,,1,
SELS,CHE102T,CHE102T,1,1,250,25,C10210-S,40,-,Chemistry and Society Tutorial,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,25,25,2009,Spring,,1,
SELS,CHE102T,CHE102T,2,1,250,38,C10210-S,40,-,Chemistry and Society Tutorial,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,38,38,2009,Spring,,1,
SELS,CHE102T,CHE102T,3,1,250,15,C10210-S,40,-,Chemistry and Society Tutorial,T001-00 TBA TBA,0.3333333333,0.3958333333,F,SELS,15,15,2009,Spring,,1,
SETS,CIS101,CIS101,1,3,250,26,C10210-S,40,-,Fundamentals of Computer System,T001-00 TBA TBA,0.3333333333,0.3958333333,F,CSE,26,78,2009,Spring,,1,
